uuid,date,Energia
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T00:00:00.000Z,0.0
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T00:15:00.000Z,0.001
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T00:45:00.000Z,0.002
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T01:00:00.000Z,0.003
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T01:15:00.000Z,0.003
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T01:30:00.000Z,0.004
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T01:45:00.000Z,0.005
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T02:00:00.000Z,0.005
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T02:15:00.000Z,0.006
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T02:30:00.000Z,0.006
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T02:45:00.000Z,0.007
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T03:00:00.000Z,0.008
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T03:15:00.000Z,0.008
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T03:30:00.000Z,0.009
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T03:45:00.000Z,0.01
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T04:00:00.000Z,0.01
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T04:15:00.000Z,0.011
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T04:30:00.000Z,0.011
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T04:45:00.000Z,0.012
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T05:00:00.000Z,0.013
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T05:15:00.000Z,0.014
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T05:30:00.000Z,0.014
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T05:45:00.000Z,0.015
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T06:00:00.000Z,0.016
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T06:15:00.000Z,0.016
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T06:30:00.000Z,0.017
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T06:45:00.000Z,0.017
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T07:00:00.000Z,0.018
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T07:15:00.000Z,0.019
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T07:30:00.000Z,0.019
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T07:45:00.000Z,0.02
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T08:00:00.000Z,0.021
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T08:15:00.000Z,0.021
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T08:30:00.000Z,0.022
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T08:45:00.000Z,0.023
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T09:00:00.000Z,0.023
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T09:15:00.000Z,0.024
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T09:30:00.000Z,0.024
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T09:45:00.000Z,0.025
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T10:00:00.000Z,0.026
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T10:15:00.000Z,0.026
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T10:30:00.000Z,0.027
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T10:45:00.000Z,0.028
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T11:00:00.000Z,0.028
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T11:15:00.000Z,0.029
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T11:30:00.000Z,0.029
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T11:45:00.000Z,0.03
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T12:00:00.000Z,0.031
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T12:15:00.000Z,0.032
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T12:30:00.000Z,0.032
415b5f83-58bc-40c4-8b61-bb965e242732,2014-11-13T12:45:00.000Z,0.033
